entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
November 10,"""I Got a Feeling""",Ricky Nelson,10,November 10,2,1958,spotify:track:1asCFshazteZOYJ6gqv0Fj,0.696,0.629,9.0,-10.914,1.0,0.0342,0.647,2.01e-06,0.0571,0.965,86.336,audio_features,1asCFshazteZOYJ6gqv0Fj,spotify:track:1asCFshazteZOYJ6gqv0Fj,https://api.spotify.com/v1/tracks/1asCFshazteZOYJ6gqv0Fj,https://api.spotify.com/v1/audio-analysis/1asCFshazteZOYJ6gqv0Fj,125067.0,4.0
November 17,"""Beep Beep""",The Playmates,4,December 1,7,1958,spotify:track:4kbV9t3FO8op15IrpQm5Mz,0.519,0.502,4.0,-6.289,0.0,0.274,0.719,0.0,0.226,0.759,76.545,audio_features,4kbV9t3FO8op15IrpQm5Mz,spotify:track:4kbV9t3FO8op15IrpQm5Mz,https://api.spotify.com/v1/tracks/4kbV9t3FO8op15IrpQm5Mz,https://api.spotify.com/v1/audio-analysis/4kbV9t3FO8op15IrpQm5Mz,150213.0,4.0
November 17,"""Lonesome Town""",Ricky Nelson,7,December 1,8,1958,spotify:track:0SsYlkXxZ5vkWOTsKxMfMz,0.404,0.193,11.0,-12.501,1.0,0.0305,0.794,0.000296,0.103,0.273,77.026,audio_features,0SsYlkXxZ5vkWOTsKxMfMz,spotify:track:0SsYlkXxZ5vkWOTsKxMfMz,https://api.spotify.com/v1/tracks/0SsYlkXxZ5vkWOTsKxMfMz,https://api.spotify.com/v1/audio-analysis/0SsYlkXxZ5vkWOTsKxMfMz,134040.0,4.0
November 17,"""Queen of the Hop""",Bobby Darin,9,November 17,3,1958,spotify:track:3iYPe12BAZCKoqeQkloxGJ,0.789,0.642,5.0,-16.088,1.0,0.0695,0.716,2.08e-06,0.108,0.943,139.462,audio_features,3iYPe12BAZCKoqeQkloxGJ,spotify:track:3iYPe12BAZCKoqeQkloxGJ,https://api.spotify.com/v1/tracks/3iYPe12BAZCKoqeQkloxGJ,https://api.spotify.com/v1/audio-analysis/3iYPe12BAZCKoqeQkloxGJ,134053.0,4.0
November 24,"""One Night""",Elvis Presley,4,December 15,8,1958,spotify:track:6zGg2IF0FJYXRaOTPGWa24,0.206,0.865,4.0,-10.77,1.0,0.154,0.823,0.882,0.75,0.59,91.01,audio_features,6zGg2IF0FJYXRaOTPGWa24,spotify:track:6zGg2IF0FJYXRaOTPGWa24,https://api.spotify.com/v1/tracks/6zGg2IF0FJYXRaOTPGWa24,https://api.spotify.com/v1/audio-analysis/6zGg2IF0FJYXRaOTPGWa24,185853.0,4.0
November 24,"""I Got Stung""",Elvis Presley,8,November 24,4,1958,spotify:track:0IDFXLMABcj61OKI3L05A0,0.731,0.832,10.0,-10.336,0.0,0.054,0.901,0.53,0.219,0.974,96.557,audio_features,0IDFXLMABcj61OKI3L05A0,spotify:track:0IDFXLMABcj61OKI3L05A0,https://api.spotify.com/v1/tracks/0IDFXLMABcj61OKI3L05A0,https://api.spotify.com/v1/audio-analysis/0IDFXLMABcj61OKI3L05A0,109413.0,4.0
December 1,"""Problems""",The Everly Brothers,2,December 15,7,1958,spotify:track:4MbHwmdaADODyMQe4NlH3i,0.731,0.537,11.0,-7.815,1.0,0.0319,0.811,0.0,0.139,0.892,127.832,audio_features,4MbHwmdaADODyMQe4NlH3i,spotify:track:4MbHwmdaADODyMQe4NlH3i,https://api.spotify.com/v1/tracks/4MbHwmdaADODyMQe4NlH3i,https://api.spotify.com/v1/audio-analysis/4MbHwmdaADODyMQe4NlH3i,119093.0,4.0
December 15,"""The Chipmunk Song Christmas Dont Be Late""",The Chipmunks with David Seville,1,December 22,6,1958,spotify:track:02NKMA9cIkq6VuBNu9q9Wf,0.612,0.37,3.0,-11.548,1.0,0.0344,0.707,2.98e-06,0.23,0.777,152.548,audio_features,02NKMA9cIkq6VuBNu9q9Wf,spotify:track:02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/tracks/02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/audio-analysis/02NKMA9cIkq6VuBNu9q9Wf,141467.0,3.0
December 15,"""Smoke Gets in Your Eyes""",The Platters,1,January 19,10,1959,spotify:track:2vSxjnyrWrtxyfzO47EX6q,0.203,0.295,3.0,-11.155,1.0,0.0323,0.92,2.05e-06,0.173,0.285,171.222,audio_features,2vSxjnyrWrtxyfzO47EX6q,spotify:track:2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/tracks/2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/audio-analysis/2vSxjnyrWrtxyfzO47EX6q,160933.0,3.0
December 22,"""A Lovers Question""",Clyde McPhatter,6,January 19,7,1959,spotify:track:6HBgCYResmsdmOufyHVoNB,0.67,0.436,0.0,-11.698,1.0,0.0554,0.887,1.71e-05,0.0609,0.951,83.023,audio_features,6HBgCYResmsdmOufyHVoNB,spotify:track:6HBgCYResmsdmOufyHVoNB,https://api.spotify.com/v1/tracks/6HBgCYResmsdmOufyHVoNB,https://api.spotify.com/v1/audio-analysis/6HBgCYResmsdmOufyHVoNB,150267.0,4.0
