id,name,link
1HyhGZMQszQiLzXhBoQPE4,Top Singles: 1984 - 1985,https://open.spotify.com/playlist/1HyhGZMQszQiLzXhBoQPE4
7JPZ6OLxhM7k0aJ4WBtQac,Top Singles: 1985 - 1986,https://open.spotify.com/playlist/7JPZ6OLxhM7k0aJ4WBtQac
1daUeNsiWT3Vys4vuMGD27,Top Singles: 1986 - 1987,https://open.spotify.com/playlist/1daUeNsiWT3Vys4vuMGD27
2xrKolQcmAmVU4Is5blO29,Top Singles: 1987 - 1988,https://open.spotify.com/playlist/2xrKolQcmAmVU4Is5blO29
63RkN9027DgbDIooQwEwsQ,Top Singles: 1988 - 1989,https://open.spotify.com/playlist/63RkN9027DgbDIooQwEwsQ
585EyaL1ERU0B89q3Bq7lJ,Top Singles: 1989 - 1990,https://open.spotify.com/playlist/585EyaL1ERU0B89q3Bq7lJ
0kKniLgP804uT9G2r9xlc6,Top Singles: 1990 - 1991,https://open.spotify.com/playlist/0kKniLgP804uT9G2r9xlc6
3sopsQgZ2DCtYniHHJYrWH,Top Singles: 1991 - 1992,https://open.spotify.com/playlist/3sopsQgZ2DCtYniHHJYrWH
4x15gpNQh252nAR4lutQBr,Top Singles: 1992 - 1993,https://open.spotify.com/playlist/4x15gpNQh252nAR4lutQBr
5uy09gS3EV9XrF8Tew9Qdd,Top Singles: 1993 - 1994,https://open.spotify.com/playlist/5uy09gS3EV9XrF8Tew9Qdd
3JrvXJDnIcHKRA0WBvjJnf,Top Singles: 1994 - 1995,https://open.spotify.com/playlist/3JrvXJDnIcHKRA0WBvjJnf
7GlheM46arsz99CS40nZbP,Top Singles: 1995 - 1996,https://open.spotify.com/playlist/7GlheM46arsz99CS40nZbP
0nU2zRxTQtiRelj2p3Esxg,Top Singles: 1996 - 1997,https://open.spotify.com/playlist/0nU2zRxTQtiRelj2p3Esxg
1mcoZaIrC2s4qlSGhXdqz2,Top Singles: 1997 - 1998,https://open.spotify.com/playlist/1mcoZaIrC2s4qlSGhXdqz2
6y3nL8muMxYhF35TRQxyNC,Top Singles: 1998 - 1999,https://open.spotify.com/playlist/6y3nL8muMxYhF35TRQxyNC
6UVqjOgy9vjrmnH16ho6ra,Top Singles: 1999 - 2000,https://open.spotify.com/playlist/6UVqjOgy9vjrmnH16ho6ra
4jI6V77oYZfjteovxP7qEW,Top Singles: 2000 - 2001,https://open.spotify.com/playlist/4jI6V77oYZfjteovxP7qEW
0BZu8KtrnLdfWCTg9RjkSi,Top Singles: 2001 - 2002,https://open.spotify.com/playlist/0BZu8KtrnLdfWCTg9RjkSi
4T21JnSKE5XDMf35lpx8ir,Top Singles: 2002 - 2003,https://open.spotify.com/playlist/4T21JnSKE5XDMf35lpx8ir
